ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
14,002,0000,140020000012,2,14-002-0000-05,00002,5,01,14002000001201,01,1,3,65,11,2015,0301,014,221,1,,,,,,2
14,002,0000,140020000012,2,14-002-0000-05,00002,5,01,14002000001202,02,1,1,70,11,2015,0301,014,221,1,,,,,,2
14,002,0000,140020000119,2,14-002-0000-05,00007,4,01,14002000011901,01,1,1,45,01,2020,0102,014,221,1,,,,,,2
14,002,0000,140020000127,2,14-002-0000-05,00007,4,01,14002000012701,01,1,3,76,05,2019,0409,014,221,3,02,2020,0409,1,01,2
14,002,0000,140020000130,2,14-002-0000-05,00007,4,01,14002000013001,01,1,1,37,03,2019,0402,014,221,1,,,,,,2
14,002,0000,140020000155,2,14-002-0000-05,00008,5,01,14002000015501,01,1,3,34,01,2020,0101,014,221,1,,,,,,2
14,002,0000,140020000176,2,14-002-0000-05,00009,4,01,14002000017601,01,1,1,49,06,2019,0102,014,221,1,,,,,,2
14,002,0000,140020000260,2,14-002-0000-05,00016,3,01,14002000026001,01,1,1,21,04,2016,0301,014,221,1,,,,,,2
14,002,0000,140020000306,2,14-002-0000-05,00018,5,01,14002000030601,01,1,1,34,07,2019,0101,014,221,3,12,2019,0301,1,02,2
14,002,0000,140020000330,2,14-002-0000-05,00019,4,01,14002000033001,01,1,1,36,02,2017,0101,014,221,3,11,2018,0301,1,01,2
14,002,0000,140020000334,2,14-002-0000-05,00019,4,01,14002000033401,01,1,1,30,08,2015,0101,014,221,3,11,2019,0301,1,05,2
14,002,0000,140020000389,2,14-002-0000-05,00021,5,01,14002000038901,01,1,1,64,07,2019,0301,014,221,3,01,2020,0909,1,01,2
14,002,0000,140020000389,2,14-002-0000-05,00021,5,01,14002000038902,02,1,3,60,07,2019,0301,014,221,3,01,2020,0909,1,02,2
14,002,0000,140020000399,2,14-002-0000-05,00022,5,01,14002000039901,01,1,1,46,04,2019,0101,014,221,3,12,2019,0301,1,01,2
